Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Chuva (mm)
10/10/2022,0,"23,1","24,3",23,88,88,83,21,"21,5","20,8","1000,6","1000,6","999,7",1,185,0
10/10/2022,100,"22,3","23,8","22,3",90,90,85,"20,6","21,3","20,4","1001,3","1001,3","1000,6","0,5",351,0
10/10/2022,200,"21,5","22,3","21,5",92,93,90,"20,2","20,7","20,2","1001,5","1001,6","1001,3","0,8",218,0
10/10/2022,300,"21,3","21,7","21,1",93,93,92,"20,2","20,5",20,"1001,5","1001,7","1001,5","0,7",284,0
10/10/2022,400,21,"21,3","20,9",93,94,93,"19,9","20,2","19,8","1001,4","1001,5","1001,3","0,4",51,0
10/10/2022,500,"21,4","22,9","20,9",89,94,86,"19,4","20,9","19,4","1001,2","1001,4","1001,1","0,9",249,0
10/10/2022,600,"20,7","22,4","20,7",90,90,84,"18,9","20,1","18,9","1001,4","1001,4","1001,1","0,6",199,0
10/10/2022,700,"21,4","21,4","20,6",91,91,90,"19,9","19,9",19,1002,1002,"1001,4",1,2,0
10/10/2022,800,"21,8","21,8","21,4",90,91,90,"20,1","20,1","19,9",1003,1003,1002,"1,2",208,0
10/10/2022,900,"22,1","22,1","21,8",89,90,89,"20,3","20,3",20,"1003,9","1003,9",1003,"0,7",229,0
10/10/2022,1000,"23,4","23,4","22,1",82,89,78,"20,1","20,2","19,1","1004,7","1004,7","1003,9","0,6",82,0
10/10/2022,1100,"26,3","26,3","23,4",67,82,67,"19,8","20,5","19,6","1004,9","1004,9","1004,7","0,9",60,0
10/10/2022,1200,"27,7","27,9","26,1",66,69,60,"20,8","20,8","19,1","1005,1","1005,1","1004,9","2,5",90,0
10/10/2022,1300,"28,8","28,9","26,5",58,68,58,"19,8","21,1","19,7","1004,6","1005,1","1004,6","1,7",102,0
10/10/2022,1400,"29,9","30,3","28,3",57,63,55,"20,3","21,4","19,5","1004,1","1004,6","1004,1","2,1",78,0
10/10/2022,1500,"30,7","31,4","29,2",53,60,52,20,"21,1","19,6","1003,3","1004,1","1003,3","2,7",75,0
10/10/2022,1600,"32,2","32,3","30,7",50,55,50,"20,5","21,4","19,4","1002,2","1003,3","1002,2","3,2",79,0
10/10/2022,1700,"32,4","32,4","31,3",49,53,48,"20,3","20,7","19,4","1001,6","1002,2","1001,6","2,9",78,0
10/10/2022,1800,"31,5","32,4","31,4",50,51,47,"19,9","20,3","19,4","1001,3","1001,6","1001,2","2,6",99,0
10/10/2022,1900,"29,7","31,6","29,7",57,58,50,"20,4","20,6","19,5","1001,8","1001,9","1001,3","4,3",67,0
10/10/2022,2000,"27,5","29,7","27,5",64,65,57,"20,2","20,6","20,2","1002,7","1002,7","1001,8","4,2",78,0
