"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"10/10/2022";"0000";"23,1";"24,3";"23,0";"88,0";"88,0";"83,0";"21,0";"21,5";"20,8";"1000,6";"1000,6";"999,7";"1,0";"185,0";"2,1";"";"0,0"
"10/10/2022";"0100";"22,3";"23,8";"22,3";"90,0";"90,0";"85,0";"20,6";"21,3";"20,4";"1001,3";"1001,3";"1000,6";"0,5";"351,0";"2,2";"";"0,0"
"10/10/2022";"0200";"21,5";"22,3";"21,5";"92,0";"93,0";"90,0";"20,2";"20,7";"20,2";"1001,5";"1001,6";"1001,3";"0,8";"218,0";"1,2";"";"0,0"
"10/10/2022";"0300";"21,3";"21,7";"21,1";"93,0";"93,0";"92,0";"20,2";"20,5";"20,0";"1001,5";"1001,7";"1001,5";"0,7";"284,0";"1,2";"";"0,0"
"10/10/2022";"0400";"21,0";"21,3";"20,9";"93,0";"94,0";"93,0";"19,9";"20,2";"19,8";"1001,4";"1001,5";"1001,3";"0,4";"51,0";"1,7";"";"0,0"
"10/10/2022";"0500";"21,4";"22,9";"20,9";"89,0";"94,0";"86,0";"19,4";"20,9";"19,4";"1001,2";"1001,4";"1001,1";"0,9";"249,0";"2,4";"";"0,0"
"10/10/2022";"0600";"20,7";"22,4";"20,7";"90,0";"90,0";"84,0";"18,9";"20,1";"18,9";"1001,4";"1001,4";"1001,1";"0,6";"199,0";"3,2";"";"0,0"
"10/10/2022";"0700";"21,4";"21,4";"20,6";"91,0";"91,0";"90,0";"19,9";"19,9";"19,0";"1002,0";"1002,0";"1001,4";"1,0";"2,0";"1,9";"";"0,0"
"10/10/2022";"0800";"21,8";"21,8";"21,4";"90,0";"91,0";"90,0";"20,1";"20,1";"19,9";"1003,0";"1003,0";"1002,0";"1,2";"208,0";"2,3";"";"0,0"
"10/10/2022";"0900";"22,1";"22,1";"21,8";"89,0";"90,0";"89,0";"20,3";"20,3";"20,0";"1003,9";"1003,9";"1003,0";"0,7";"229,0";"2,3";"48,60";"0,0"
"10/10/2022";"1000";"23,4";"23,4";"22,1";"82,0";"89,0";"78,0";"20,1";"20,2";"19,1";"1004,7";"1004,7";"1003,9";"0,6";"82,0";"2,8";"360,00";"0,0"
"10/10/2022";"1100";"26,3";"26,3";"23,4";"67,0";"82,0";"67,0";"19,8";"20,5";"19,6";"1004,9";"1004,9";"1004,7";"0,9";"60,0";"2,2";"1419,00";"0,0"
"10/10/2022";"1200";"27,7";"27,9";"26,1";"66,0";"69,0";"60,0";"20,8";"20,8";"19,1";"1005,1";"1005,1";"1004,9";"2,5";"90,0";"4,4";"2134,20";"0,0"
"10/10/2022";"1300";"28,8";"28,9";"26,5";"58,0";"68,0";"58,0";"19,8";"21,1";"19,7";"1004,6";"1005,1";"1004,6";"1,7";"102,0";"5,1";"2056,30";"0,0"
"10/10/2022";"1400";"29,9";"30,3";"28,3";"57,0";"63,0";"55,0";"20,3";"21,4";"19,5";"1004,1";"1004,6";"1004,1";"2,1";"78,0";"4,3";"2486,00";"0,0"
"10/10/2022";"1500";"30,7";"31,4";"29,2";"53,0";"60,0";"52,0";"20,0";"21,1";"19,6";"1003,3";"1004,1";"1003,3";"2,7";"75,0";"6,0";"3517,00";"0,0"
"10/10/2022";"1600";"32,2";"32,3";"30,7";"50,0";"55,0";"50,0";"20,5";"21,4";"19,4";"1002,2";"1003,3";"1002,2";"3,2";"79,0";"6,4";"3409,80";"0,0"
"10/10/2022";"1700";"32,4";"32,4";"31,3";"49,0";"53,0";"48,0";"20,3";"20,7";"19,4";"1001,6";"1002,2";"1001,6";"2,9";"78,0";"7,5";"3050,70";"0,0"
"10/10/2022";"1800";"31,5";"32,4";"31,4";"50,0";"51,0";"47,0";"19,9";"20,3";"19,4";"1001,3";"1001,6";"1001,2";"2,6";"99,0";"7,1";"2236,00";"0,0"
"10/10/2022";"1900";"29,7";"31,6";"29,7";"57,0";"58,0";"50,0";"20,4";"20,6";"19,5";"1001,8";"1001,9";"1001,3";"4,3";"67,0";"10,0";"1363,30";"0,0"
"10/10/2022";"2000";"27,5";"29,7";"27,5";"64,0";"65,0";"57,0";"20,2";"20,6";"20,2";"1002,7";"1002,7";"1001,8";"4,2";"78,0";"9,3";"723,30";"0,0"
"10/10/2022";"2100";"26,2";"27,5";"26,1";"70,0";"70,0";"64,0";"20,3";"20,3";"20,1";"1003,6";"1003,6";"1002,7";"2,3";"89,0";"8,5";"85,50";"0,0"
"10/10/2022";"2200";"25,3";"26,2";"25,3";"75,0";"75,0";"70,0";"20,5";"20,5";"20,3";"1004,5";"1004,5";"1003,6";"1,2";"94,0";"4,9";"";"0,0"
"10/10/2022";"2300";"24,9";"25,3";"24,9";"76,0";"77,0";"75,0";"20,5";"20,5";"20,4";"1005,3";"1005,3";"1004,5";"1,8";"86,0";"3,8";"";"0,0"
"11/10/2022";"0000";"24,3";"24,9";"24,1";"79,0";"80,0";"76,0";"20,5";"20,6";"20,4";"1006,1";"1006,1";"1005,3";"0,9";"111,0";"3,4";"";"0,0"
"11/10/2022";"0100";"24,1";"24,4";"23,7";"82,0";"83,0";"79,0";"20,9";"20,9";"20,5";"1006,4";"1006,4";"1006,1";"0,6";"317,0";"2,0";"";"0,0"
"11/10/2022";"0200";"24,4";"24,4";"24,1";"81,0";"82,0";"81,0";"20,9";"21,1";"20,8";"1006,0";"1006,4";"1006,0";"0,6";"167,0";"1,5";"";"0,0"
"11/10/2022";"0300";"24,6";"24,6";"24,1";"81,0";"83,0";"81,0";"21,0";"21,1";"20,9";"1005,7";"1006,0";"1005,7";"0,8";"157,0";"1,6";"";"0,0"
"11/10/2022";"0400";"24,3";"24,6";"24,2";"82,0";"83,0";"80,0";"21,1";"21,1";"20,9";"1005,1";"1005,7";"1005,1";"0,5";"139,0";"2,3";"";"0,0"
"11/10/2022";"0500";"24,2";"24,3";"24,0";"84,0";"85,0";"82,0";"21,3";"21,3";"21,0";"1004,6";"1005,2";"1004,6";"0,6";"148,0";"1,5";"";"0,0"
"11/10/2022";"0600";"24,0";"24,2";"24,0";"85,0";"85,0";"84,0";"21,4";"21,4";"21,2";"1004,0";"1004,6";"1004,0";"1,3";"113,0";"2,2";"";"0,0"
"11/10/2022";"0700";"23,6";"24,0";"23,6";"87,0";"87,0";"85,0";"21,3";"21,4";"21,3";"1004,1";"1004,1";"1004,0";"1,3";"117,0";"3,2";"";"0,0"
"11/10/2022";"0800";"22,9";"23,6";"22,9";"89,0";"89,0";"87,0";"21,0";"21,3";"20,9";"1004,5";"1004,5";"1004,1";"1,0";"178,0";"3,2";"";"0,0"
"11/10/2022";"0900";"23,1";"23,1";"22,3";"91,0";"91,0";"89,0";"21,5";"21,5";"20,6";"1005,1";"1005,1";"1004,5";"0,5";"38,0";"1,5";"107,90";"0,0"
"11/10/2022";"1000";"24,7";"24,7";"23,1";"83,0";"91,0";"83,0";"21,7";"21,9";"21,1";"1005,6";"1005,6";"1005,1";"1,0";"59,0";"1,9";"590,10";"0,0"
"11/10/2022";"1100";"26,9";"26,9";"24,7";"72,0";"83,0";"71,0";"21,3";"21,9";"20,9";"1005,7";"1005,7";"1005,6";"1,2";"77,0";"2,3";"1628,80";"0,0"
"11/10/2022";"1200";"29,7";"29,8";"26,7";"50,0";"72,0";"50,0";"18,1";"21,3";"18,1";"1005,6";"1005,9";"1005,6";"1,8";"54,0";"5,7";"2431,60";"0,0"
"11/10/2022";"1300";"31,0";"31,2";"28,9";"43,0";"55,0";"42,0";"16,8";"19,8";"16,0";"1005,1";"1005,6";"1005,1";"2,1";"47,0";"6,9";"3060,90";"0,0"
"11/10/2022";"1400";"31,6";"31,9";"30,5";"37,0";"44,0";"37,0";"15,3";"17,1";"15,1";"1004,6";"1005,1";"1004,6";"2,5";"358,0";"6,1";"3432,00";"0,0"
"11/10/2022";"1500";"32,6";"33,2";"31,6";"40,0";"42,0";"34,0";"17,3";"17,7";"14,0";"1003,5";"1004,5";"1003,5";"1,9";"35,0";"5,7";"3549,20";"0,0"
"11/10/2022";"1600";"33,8";"33,8";"32,4";"36,0";"41,0";"35,0";"16,5";"18,1";"15,8";"1002,4";"1003,5";"1002,4";"1,7";"86,0";"5,2";"3407,90";"0,0"
"11/10/2022";"1700";"34,0";"34,4";"33,0";"35,0";"38,0";"32,0";"16,2";"17,7";"14,8";"1001,3";"1002,4";"1001,3";"1,9";"34,0";"4,6";"3006,60";"0,0"
"11/10/2022";"1800";"34,0";"34,3";"33,7";"37,0";"38,0";"33,0";"17,1";"17,6";"15,8";"1000,5";"1001,3";"1000,5";"2,0";"74,0";"5,1";"2410,50";"0,0"
"11/10/2022";"1900";"33,7";"34,3";"33,6";"36,0";"38,0";"34,0";"16,5";"17,6";"16,1";"1000,3";"1000,5";"1000,3";"1,7";"69,0";"5,0";"1633,10";"0,0"
"11/10/2022";"2000";"31,3";"34,3";"31,3";"50,0";"50,0";"34,0";"19,5";"19,5";"15,9";"1000,6";"1000,6";"1000,3";"2,6";"106,0";"6,1";"677,00";"0,0"
"11/10/2022";"2100";"29,5";"31,3";"29,4";"56,0";"56,0";"50,0";"19,8";"19,8";"19,4";"1001,0";"1001,0";"1000,6";"2,4";"100,0";"5,9";"63,00";"0,0"
"11/10/2022";"2200";"27,6";"29,5";"27,6";"63,0";"63,0";"56,0";"19,9";"19,9";"19,7";"1001,8";"1001,8";"1001,0";"1,8";"56,0";"5,5";"";"0,0"
"11/10/2022";"2300";"26,6";"27,6";"26,4";"67,0";"68,0";"63,0";"20,0";"20,1";"19,9";"1002,1";"1002,1";"1001,8";"1,7";"165,0";"3,9";"";"0,0"
"12/10/2022";"0000";"24,0";"26,7";"24,0";"79,0";"79,0";"67,0";"20,2";"20,4";"19,9";"1002,3";"1002,3";"1002,1";"1,3";"175,0";"3,1";"";"0,0"
"12/10/2022";"0100";"22,5";"24,4";"22,5";"86,0";"86,0";"79,0";"20,1";"20,5";"20,0";"1002,5";"1002,5";"1002,3";"0,9";"200,0";"3,3";"";"0,0"
"12/10/2022";"0200";"21,6";"22,6";"21,5";"90,0";"90,0";"86,0";"19,8";"20,2";"19,7";"1002,3";"1002,5";"1002,3";"0,3";"286,0";"1,8";"";"0,0"
"12/10/2022";"0300";"20,8";"21,6";"20,8";"92,0";"92,0";"90,0";"19,4";"19,8";"19,4";"1001,9";"1002,3";"1001,9";"0,4";"282,0";"1,1";"";"0,0"
"12/10/2022";"0400";"20,5";"20,9";"20,5";"93,0";"93,0";"92,0";"19,3";"19,6";"19,3";"1001,2";"1001,9";"1001,2";"0,6";"224,0";"1,5";"";"0,0"
"12/10/2022";"0500";"20,0";"20,5";"20,0";"94,0";"94,0";"93,0";"18,9";"19,4";"18,9";"1000,5";"1001,2";"1000,5";"0,2";"56,0";"1,1";"";"0,0"
"12/10/2022";"0600";"19,7";"20,0";"19,6";"94,0";"94,0";"94,0";"18,8";"19,0";"18,6";"1000,3";"1000,5";"1000,2";"0,5";"273,0";"1,4";"";"0,0"
"12/10/2022";"0700";"19,4";"19,8";"19,3";"95,0";"95,0";"94,0";"18,5";"18,8";"18,3";"1000,5";"1000,5";"1000,2";"0,6";"127,0";"1,4";"";"0,0"
"12/10/2022";"0800";"19,5";"19,6";"19,0";"95,0";"95,0";"94,0";"18,6";"18,7";"18,1";"1001,4";"1001,4";"1000,5";"1,5";"216,0";"2,8";"";"0,0"
"12/10/2022";"0900";"21,4";"21,4";"19,4";"85,0";"95,0";"84,0";"18,7";"19,5";"17,8";"1002,2";"1002,2";"1001,4";"1,2";"222,0";"3,2";"95,10";"0,0"
"12/10/2022";"1000";"25,0";"25,0";"21,3";"67,0";"85,0";"66,0";"18,3";"19,0";"17,8";"1002,9";"1002,9";"1002,2";"0,9";"183,0";"4,4";"764,30";"0,0"
"12/10/2022";"1100";"27,0";"27,0";"24,9";"58,0";"67,0";"58,0";"18,0";"18,2";"17,1";"1003,2";"1003,2";"1002,9";"1,4";"326,0";"4,6";"1675,30";"0,0"
"12/10/2022";"1200";"28,1";"28,7";"26,6";"50,0";"58,0";"49,0";"16,7";"18,4";"16,7";"1002,8";"1003,3";"1002,8";"2,6";"23,0";"5,6";"2477,90";"0,0"
"12/10/2022";"1300";"30,3";"30,5";"27,9";"43,0";"52,0";"42,0";"16,5";"17,6";"15,8";"1002,2";"1002,8";"1002,1";"2,2";"13,0";"5,5";"3110,10";"0,0"
"12/10/2022";"1400";"32,6";"32,6";"30,3";"37,0";"44,0";"35,0";"16,0";"17,0";"14,6";"1001,3";"1002,2";"1001,3";"2,1";"271,0";"5,4";"3512,40";"0,0"
"12/10/2022";"1500";"33,9";"34,4";"32,5";"32,0";"37,0";"29,0";"14,9";"16,3";"13,9";"1000,1";"1001,3";"1000,1";"2,7";"95,0";"4,9";"3613,20";"0,0"
"12/10/2022";"1600";"34,6";"35,2";"33,6";"29,0";"34,0";"28,0";"14,0";"15,8";"13,2";"998,9";"1000,1";"998,9";"2,2";"52,0";"5,3";"3220,40";"0,0"
"12/10/2022";"1700";"35,1";"35,5";"34,3";"27,0";"32,0";"27,0";"13,5";"15,4";"13,5";"998,0";"998,9";"998,0";"1,6";"64,0";"6,0";"3117,40";"0,0"
"12/10/2022";"1800";"35,1";"35,7";"34,9";"30,0";"31,0";"27,0";"14,9";"15,7";"13,6";"997,4";"998,0";"997,4";"2,6";"71,0";"5,6";"2538,80";"0,0"
"12/10/2022";"1900";"35,0";"35,7";"34,8";"31,0";"32,0";"29,0";"15,1";"15,8";"14,3";"997,2";"997,5";"997,2";"2,3";"94,0";"5,3";"1871,70";"0,0"
"12/10/2022";"2000";"32,6";"35,0";"32,6";"41,0";"41,0";"29,0";"17,6";"17,7";"14,0";"997,6";"997,6";"997,2";"2,7";"77,0";"6,5";"722,60";"0,0"
"12/10/2022";"2100";"29,2";"32,6";"29,1";"54,0";"54,0";"41,0";"18,8";"18,9";"17,6";"998,3";"998,3";"997,6";"0,6";"67,0";"5,3";"60,30";"0,0"
"12/10/2022";"2200";"29,9";"30,5";"28,7";"54,0";"56,0";"51,0";"19,6";"19,7";"18,6";"999,3";"999,3";"998,3";"2,3";"90,0";"4,5";"";"0,0"
"12/10/2022";"2300";"26,9";"29,9";"26,9";"66,0";"66,0";"54,0";"20,0";"20,0";"19,3";"1000,2";"1000,2";"999,3";"1,3";"167,0";"4,8";"";"0,0"
"13/10/2022";"0000";"24,4";"26,8";"24,2";"79,0";"79,0";"66,0";"20,4";"20,4";"19,8";"1000,7";"1000,7";"1000,2";"1,0";"207,0";"";"";"0,0"
"13/10/2022";"0100";"22,9";"24,6";"22,8";"84,0";"84,0";"78,0";"20,0";"20,6";"19,8";"1000,9";"1000,9";"1000,7";"0,3";"282,0";"1,9";"";"0,0"
"13/10/2022";"0200";"21,7";"22,9";"21,7";"88,0";"88,0";"84,0";"19,6";"20,0";"19,6";"1000,5";"1000,9";"1000,5";"0,4";"268,0";"1,4";"";"0,0"
"13/10/2022";"0300";"20,8";"21,8";"20,8";"90,0";"90,0";"88,0";"19,1";"19,8";"19,1";"1000,2";"1000,5";"1000,2";"0,5";"331,0";"1,3";"";"0,0"
"13/10/2022";"0400";"20,4";"20,9";"20,3";"92,0";"92,0";"90,0";"19,0";"19,3";"18,9";"1000,0";"1000,3";"1000,0";"0,7";"323,0";"1,2";"";"0,0"
"13/10/2022";"0500";"19,6";"20,4";"19,5";"93,0";"93,0";"92,0";"18,5";"19,0";"18,4";"1000,0";"1000,1";"1000,0";"0,9";"321,0";"1,4";"";"0,0"
"13/10/2022";"0600";"19,6";"19,7";"19,4";"94,0";"94,0";"93,0";"18,6";"18,6";"18,3";"1000,5";"1000,5";"1000,0";"0,6";"315,0";"1,2";"";"0,0"
"13/10/2022";"0700";"19,6";"19,6";"19,4";"94,0";"94,0";"93,0";"18,5";"18,6";"18,3";"1001,1";"1001,1";"1000,5";"0,3";"27,0";"1,2";"";"0,0"
"13/10/2022";"0800";"19,5";"19,6";"19,1";"94,0";"94,0";"94,0";"18,5";"18,6";"18,1";"1001,8";"1001,8";"1001,1";"0,5";"350,0";"0,9";"";"0,0"
"13/10/2022";"0900";"20,8";"20,8";"19,4";"88,0";"94,0";"88,0";"18,8";"19,0";"18,5";"1002,7";"1002,7";"1001,8";"0,8";"313,0";"2,5";"77,20";"0,0"
"13/10/2022";"1000";"23,3";"23,3";"20,8";"72,0";"89,0";"72,0";"17,9";"19,4";"17,9";"1003,4";"1003,4";"1002,7";"1,5";"53,0";"2,9";"770,80";"0,0"
"13/10/2022";"1100";"26,2";"26,5";"23,3";"60,0";"72,0";"59,0";"17,8";"19,1";"17,2";"1003,7";"1003,8";"1003,4";"1,1";"317,0";"3,0";"1664,60";"0,0"
"13/10/2022";"1200";"28,0";"28,1";"25,9";"54,0";"61,0";"52,0";"17,8";"18,9";"16,9";"1003,8";"1004,0";"1003,7";"2,2";"79,0";"4,1";"2424,80";"0,0"
"13/10/2022";"1300";"29,8";"29,8";"27,5";"48,0";"56,0";"47,0";"17,7";"18,7";"16,6";"1003,2";"1003,8";"1003,2";"2,3";"89,0";"4,4";"3001,90";"0,0"
"13/10/2022";"1400";"31,4";"31,5";"29,3";"43,0";"49,0";"42,0";"17,3";"18,4";"16,0";"1002,6";"1003,2";"1002,6";"2,3";"58,0";"4,5";"3398,40";"0,0"
"13/10/2022";"1500";"32,3";"32,8";"30,8";"40,0";"45,0";"38,0";"17,1";"18,1";"15,6";"1001,6";"1002,6";"1001,6";"2,2";"75,0";"4,7";"3398,50";"0,0"
"13/10/2022";"1600";"32,8";"33,1";"31,7";"37,0";"42,0";"36,0";"16,4";"17,9";"15,4";"1000,6";"1001,6";"1000,6";"3,0";"67,0";"6,0";"3363,00";"0,0"
"13/10/2022";"1700";"33,5";"33,5";"32,3";"36,0";"40,0";"34,0";"16,4";"17,3";"15,2";"999,4";"1000,6";"999,4";"2,2";"68,0";"6,0";"3018,40";"0,0"
"13/10/2022";"1800";"33,6";"34,3";"33,0";"31,0";"36,0";"30,0";"14,0";"16,5";"13,8";"998,9";"999,4";"998,9";"2,4";"178,0";"4,9";"2416,90";"0,0"
"13/10/2022";"1900";"32,7";"34,2";"32,7";"40,0";"40,0";"30,0";"17,3";"17,5";"13,6";"998,7";"998,9";"998,7";"3,5";"84,0";"6,1";"1655,70";"0,0"
"13/10/2022";"2000";"30,5";"32,8";"30,5";"49,0";"49,0";"40,0";"18,6";"18,7";"17,4";"999,1";"999,1";"998,7";"3,4";"83,0";"6,1";"665,80";"0,0"
"13/10/2022";"2100";"28,2";"30,5";"28,2";"58,0";"58,0";"49,0";"19,3";"19,4";"18,7";"1000,2";"1000,2";"999,1";"1,8";"99,0";"6,4";"54,60";"0,0"
"13/10/2022";"2200";"26,8";"28,2";"26,8";"63,0";"63,0";"58,0";"19,3";"19,4";"19,2";"1001,0";"1001,0";"1000,2";"1,4";"114,0";"4,2";"";"0,0"
"13/10/2022";"2300";"26,1";"26,9";"25,7";"69,0";"69,0";"63,0";"19,8";"19,8";"19,3";"1001,5";"1001,5";"1001,0";"1,3";"137,0";"3,4";"";"0,0"
"14/10/2022";"0000";"24,0";"26,1";"24,0";"78,0";"78,0";"68,0";"20,0";"20,0";"19,7";"1001,7";"1001,7";"1001,5";"1,2";"190,0";"2,8";"";"0,0"
"14/10/2022";"0100";"23,0";"24,0";"22,7";"83,0";"84,0";"78,0";"20,0";"20,1";"19,7";"1002,1";"1002,1";"1001,7";"0,6";"223,0";"1,9";"";"0,0"
"14/10/2022";"0200";"22,1";"23,5";"22,0";"87,0";"87,0";"81,0";"19,8";"20,2";"19,6";"1002,1";"1002,1";"1002,0";"0,6";"26,0";"1,8";"";"0,0"
"14/10/2022";"0300";"21,4";"22,1";"21,3";"90,0";"90,0";"87,0";"19,7";"19,8";"19,4";"1001,6";"1002,1";"1001,6";"0,4";"207,0";"1,1";"";"0,0"
"14/10/2022";"0400";"20,6";"21,4";"20,6";"92,0";"92,0";"90,0";"19,3";"19,5";"19,2";"1001,5";"1001,6";"1001,5";"0,4";"242,0";"1,0";"";"0,0"
"14/10/2022";"0500";"20,2";"20,7";"20,1";"93,0";"93,0";"92,0";"19,0";"19,4";"19,0";"1001,4";"1001,5";"1001,3";"0,4";"224,0";"0,9";"";"0,0"
"14/10/2022";"0600";"20,0";"20,2";"19,9";"94,0";"94,0";"93,0";"18,9";"19,1";"18,9";"1001,5";"1001,6";"1001,4";"0,5";"265,0";"1,1";"";"0,0"
"14/10/2022";"0700";"19,7";"20,0";"19,6";"94,0";"94,0";"94,0";"18,8";"19,0";"18,6";"1001,8";"1001,8";"1001,5";"1,0";"315,0";"1,4";"";"0,0"
"14/10/2022";"0800";"19,3";"19,7";"19,3";"94,0";"94,0";"94,0";"18,4";"18,8";"18,3";"1002,4";"1002,4";"1001,8";"0,7";"301,0";"1,4";"";"0,0"
"14/10/2022";"0900";"19,6";"19,6";"19,2";"95,0";"95,0";"94,0";"18,7";"18,7";"18,3";"1003,3";"1003,3";"1002,4";"0,2";"209,0";"1,0";"60,50";"0,0"
"14/10/2022";"1000";"21,0";"21,1";"19,6";"93,0";"95,0";"93,0";"19,9";"20,0";"18,7";"1004,1";"1004,1";"1003,3";"0,4";"53,0";"1,0";"322,30";"0,0"
"14/10/2022";"1100";"25,4";"25,4";"21,0";"71,0";"94,0";"71,0";"19,7";"20,7";"19,4";"1004,6";"1004,6";"1004,1";"0,9";"73,0";"2,2";"1297,60";"0,0"
"14/10/2022";"1200";"25,4";"26,3";"24,9";"71,0";"73,0";"68,0";"19,8";"20,2";"19,2";"1004,9";"1004,9";"1004,6";"2,0";"89,0";"3,3";"1477,80";"0,0"
"14/10/2022";"1300";"28,3";"28,3";"25,5";"61,0";"71,0";"60,0";"19,9";"20,1";"18,5";"1004,4";"1004,9";"1004,4";"1,9";"40,0";"3,6";"1869,40";"0,0"
"14/10/2022";"1400";"29,9";"30,4";"27,7";"53,0";"62,0";"49,0";"19,3";"20,3";"17,7";"1003,8";"1004,4";"1003,8";"2,0";"49,0";"4,3";"3054,40";"0,0"
"14/10/2022";"1500";"30,8";"31,4";"29,1";"48,0";"54,0";"46,0";"18,7";"19,6";"17,8";"1002,8";"1003,8";"1002,8";"1,8";"98,0";"4,7";"3555,20";"0,0"
"14/10/2022";"1600";"31,6";"32,5";"30,5";"42,0";"49,0";"41,0";"17,0";"19,1";"16,8";"1001,6";"1002,8";"1001,6";"2,2";"83,0";"4,0";"3649,70";"0,0"
"14/10/2022";"1700";"33,2";"33,3";"31,5";"39,0";"43,0";"38,0";"17,3";"18,4";"16,3";"1000,5";"1001,6";"1000,5";"1,5";"49,0";"3,8";"3219,00";"0,0"
"14/10/2022";"1800";"33,2";"33,5";"31,8";"36,0";"41,0";"33,0";"16,0";"17,5";"15,2";"999,8";"1000,5";"999,8";"1,0";"323,0";"3,3";"2041,90";"0,0"
"14/10/2022";"1900";"33,0";"34,1";"32,8";"33,0";"36,0";"32,0";"14,5";"16,3";"14,0";"999,6";"999,8";"999,5";"1,2";"68,0";"3,4";"1715,20";"0,0"
"14/10/2022";"2000";"30,6";"33,6";"30,6";"50,0";"50,0";"32,0";"18,9";"18,9";"14,1";"999,9";"999,9";"999,6";"3,7";"80,0";"7,0";"721,90";"0,0"
"14/10/2022";"2100";"28,0";"30,6";"28,0";"59,0";"59,0";"50,0";"19,4";"19,4";"18,9";"1001,1";"1001,1";"999,9";"3,1";"101,0";"8,3";"70,40";"0,0"
"14/10/2022";"2200";"26,2";"28,0";"26,2";"67,0";"67,0";"59,0";"19,6";"19,7";"19,4";"1001,9";"1001,9";"1001,1";"2,0";"84,0";"5,9";"";"0,0"
"14/10/2022";"2300";"25,4";"26,2";"25,4";"71,0";"71,0";"67,0";"19,7";"19,7";"19,6";"1002,8";"1002,8";"1001,9";"1,8";"106,0";"5,0";"";"0,0"
"15/10/2022";"0000";"23,7";"25,4";"23,4";"79,0";"79,0";"71,0";"19,9";"19,9";"19,5";"1003,9";"1003,9";"1002,8";"0,9";"179,0";"3,7";"";"0,0"
"15/10/2022";"0100";"24,0";"24,5";"23,2";"76,0";"81,0";"75,0";"19,6";"20,1";"19,6";"1004,8";"1004,8";"1003,9";"1,6";"98,0";"3,6";"";"0,0"
"15/10/2022";"0200";"23,6";"24,1";"23,5";"78,0";"79,0";"76,0";"19,6";"19,7";"19,5";"1005,0";"1005,1";"1004,8";"1,6";"88,0";"3,7";"";"0,0"
"15/10/2022";"0300";"23,4";"23,7";"23,4";"80,0";"80,0";"78,0";"19,6";"19,7";"19,6";"1004,8";"1005,1";"1004,8";"0,8";"166,0";"3,5";"";"0,0"
"15/10/2022";"0400";"23,2";"23,4";"22,7";"82,0";"84,0";"79,0";"19,9";"19,9";"19,6";"1004,6";"1004,9";"1004,6";"1,0";"197,0";"2,5";"";"0,0"
"15/10/2022";"0500";"23,3";"23,5";"23,2";"81,0";"82,0";"79,0";"19,8";"19,9";"19,7";"1004,6";"1004,6";"1004,4";"1,0";"110,0";"3,1";"";"0,0"
"15/10/2022";"0600";"22,8";"23,4";"22,8";"83,0";"83,0";"80,0";"19,8";"19,8";"19,5";"1004,6";"1004,6";"1004,5";"1,9";"69,0";"3,2";"";"0,0"
"15/10/2022";"0700";"22,1";"22,8";"22,1";"87,0";"87,0";"83,0";"19,8";"19,9";"19,7";"1005,0";"1005,0";"1004,6";"0,4";"113,0";"3,5";"";"0,0"
"15/10/2022";"0800";"22,0";"22,5";"21,9";"89,0";"89,0";"86,0";"20,1";"20,1";"19,8";"1005,5";"1005,5";"1005,0";"0,3";"7,0";"2,8";"";"0,0"
"15/10/2022";"0900";"22,3";"22,4";"21,4";"85,0";"91,0";"85,0";"19,7";"20,1";"19,6";"1006,1";"1006,1";"1005,5";"1,3";"146,0";"2,4";"48,50";"0,0"
"15/10/2022";"1000";"22,9";"23,0";"22,1";"82,0";"87,0";"80,0";"19,6";"19,9";"19,3";"1006,7";"1006,7";"1006,1";"1,1";"86,0";"2,6";"243,70";"0,2"
"15/10/2022";"1100";"24,6";"25,9";"22,8";"67,0";"82,0";"66,0";"18,0";"20,5";"18,0";"1007,1";"1007,1";"1006,7";"3,0";"73,0";"6,8";"1569,70";"0,0"
"15/10/2022";"1200";"26,6";"26,9";"24,4";"58,0";"71,0";"58,0";"17,8";"19,3";"17,4";"1007,1";"1007,4";"1007,1";"2,2";"76,0";"6,8";"2074,20";"0,0"
"15/10/2022";"1300";"28,2";"28,3";"25,3";"49,0";"63,0";"49,0";"16,4";"18,5";"16,4";"1006,7";"1007,1";"1006,7";"2,1";"107,0";"6,0";"3037,20";"0,0"
"15/10/2022";"1400";"28,8";"29,4";"26,8";"46,0";"54,0";"44,0";"16,0";"17,9";"15,6";"1006,3";"1006,7";"1006,3";"2,9";"50,0";"7,7";"3500,20";"0,0"
"15/10/2022";"1500";"30,1";"30,5";"28,4";"38,0";"47,0";"37,0";"14,4";"16,7";"13,6";"1005,3";"1006,3";"1005,3";"1,7";"93,0";"6,8";"4017,40";"0,0"
